method,mode,problems_total,problems_used,coverage,simpson_mean,simpson_std_across_problems,k_mean,k_std_across_problems,dominant_ratio_mean,dominant_ratio_std_across_problems,entropy_norm_mean,entropy_norm_std_across_problems,rubric_mean,rubric_std_across_problems,mean_correct_trajectories
grpo,all,30,30,1.0,0.29661458333333335,0.2638560147510277,2.3,1.0875470659652644,0.7708333333333334,0.23056651868870703,0.1849676281065029,0.16247212153514673,2,1.0827805840074194,9.566666666666666
grpo,correct_only,30,25,0.8333333333333334,0.10167091836734693,0.16450934117295524,1.44,0.6506407098647712,0.9327857142857143,0.12559158480355834,0.07333690851939788,0.11337298822968621,1.24,0.5228129047119374,9.566666666666666
flowsd,all,30,30,1.0,0.315625,0.296283155517715,2.433333333333333,1.5241353305225644,0.75625,0.24364221754945056,0.20375444947514632,0.19968680200228164,1.9666666666666666,1.0333518722845685,11
flowsd,correct_only,30,26,0.8666666666666667,0.2193624124792956,0.254445979569576,1.7307692307692308,0.9615692302769389,0.8274496336996336,0.21081897934192334,0.1717690737000775,0.24135680814966057,1.7692307692307692,0.9922778767136676,11
rlsd,all,30,30,1.0,0.22552083333333334,0.2586376012190954,2.1,1.1846722229638327,0.8291666666666667,0.21893977810526258,0.14472053368260934,0.1660231285810161,1.6333333333333333,0.9994251221140299,9.733333333333333
rlsd,correct_only,30,24,0.8,0.14562838818920845,0.21869955174755978,1.4583333333333333,0.6580053301400784,0.8884822931697932,0.17851020323712002,0.12779738762108567,0.2352878307359086,1.4166666666666667,0.7755316082290384,9.733333333333333
